lncRNA,miRNA
lnc-RP3-377D14.1.1-1,hsa-miR-195-5p
lnc-RP3-377D14.1.1-1,hsa-miR-424-5p
lnc-RP3-377D14.1.1-1,hsa-miR-497-5p
lnc-PPIAL4B-2,hsa-miR-103a-3p
lnc-PPIAL4B-2,hsa-miR-107
RP11-458D21.1,hsa-miR-142-3p
LINC00869,hsa-miR-132-3p
LINC00869,hsa-miR-134-5p
LINC00869,hsa-miR-150-5p
LINC00869,hsa-miR-15a-5p
LINC00869,hsa-miR-15b-5p
LINC00869,hsa-miR-16-5p
LINC00869,hsa-miR-195-5p
LINC00869,hsa-miR-200b-3p
LINC00869,hsa-miR-200c-3p
LINC00869,hsa-miR-206
LINC00869,hsa-miR-212-3p
LINC00869,hsa-miR-214-3p
LINC00869,hsa-miR-3118
LINC00869,hsa-miR-3167
LINC00869,hsa-miR-340-5p
LINC00869,hsa-miR-3619-5p
LINC00869,hsa-miR-365a-3p
LINC00869,hsa-miR-424-5p
LINC00869,hsa-miR-429
LINC00869,hsa-miR-431-5p
LINC00869,hsa-miR-497-5p
LINC00869,hsa-miR-613
LINC00869,hsa-miR-761
LINC00869,hsa-miR-876-5p
FLG-AS1,hsa-miR-186-5p
FLG-AS1,hsa-miR-365a-3p
RUSC1-AS1,hsa-miR-326
RUSC1-AS1,hsa-miR-330-5p
RUSC1-AS1,hsa-miR-340-5p
RUSC1-AS1,hsa-miR-539-5p
ASH1L-AS1,hsa-miR-329-3p
ASH1L-AS1,hsa-miR-362-3p
ASH1L-AS1,hsa-miR-503-5p
GAS5,hsa-miR-128-3p
GAS5,hsa-miR-1297
GAS5,hsa-miR-135a-5p
GAS5,hsa-miR-135b-5p
GAS5,hsa-miR-136-5p
GAS5,hsa-miR-18a-5p
GAS5,hsa-miR-18b-5p
GAS5,hsa-miR-196a-5p
GAS5,hsa-miR-196b-5p
GAS5,hsa-miR-205-5p
GAS5,hsa-miR-221-3p
GAS5,hsa-miR-222-3p
GAS5,hsa-miR-223-3p
GAS5,hsa-miR-23a-3p
GAS5,hsa-miR-23b-3p
GAS5,hsa-miR-23c
GAS5,hsa-miR-26a-5p
GAS5,hsa-miR-26b-5p
GAS5,hsa-miR-29a-3p
GAS5,hsa-miR-29b-3p
GAS5,hsa-miR-29c-3p
GAS5,hsa-miR-3167
GAS5,hsa-miR-346
GAS5,hsa-miR-361-5p
GAS5,hsa-miR-374a-5p
GAS5,hsa-miR-374b-5p
GAS5,hsa-miR-433-3p
GAS5,hsa-miR-4465
GAS5,hsa-miR-455-5p
GAS5,hsa-miR-4735-3p
GAS5,hsa-miR-485-5p
GAS5,hsa-miR-544a
GAS5,hsa-miR-590-3p
GAS5,hsa-miR-873-5p
GAS5,hsa-miR-876-5p
RASAL2-AS1,hsa-miR-15a-5p
RASAL2-AS1,hsa-miR-15b-5p
RASAL2-AS1,hsa-miR-16-5p
RASAL2-AS1,hsa-miR-195-5p
RASAL2-AS1,hsa-miR-371a-5p
RASAL2-AS1,hsa-miR-424-5p
RASAL2-AS1,hsa-miR-497-5p
LINC01036,hsa-miR-433-3p
lnc-ATP6V1G3-4,hsa-miR-106a-5p
lnc-ATP6V1G3-4,hsa-miR-106b-5p
lnc-ATP6V1G3-4,hsa-miR-1297
lnc-ATP6V1G3-4,hsa-miR-17-5p
lnc-ATP6V1G3-4,hsa-miR-20a-5p
lnc-ATP6V1G3-4,hsa-miR-20b-5p
lnc-ATP6V1G3-4,hsa-miR-26a-5p
lnc-ATP6V1G3-4,hsa-miR-26b-5p
lnc-ATP6V1G3-4,hsa-miR-302a-3p
lnc-ATP6V1G3-4,hsa-miR-302b-3p
lnc-ATP6V1G3-4,hsa-miR-302c-3p
lnc-ATP6V1G3-4,hsa-miR-302d-3p
lnc-ATP6V1G3-4,hsa-miR-302e
lnc-ATP6V1G3-4,hsa-miR-339-5p
lnc-ATP6V1G3-4,hsa-miR-372-3p
lnc-ATP6V1G3-4,hsa-miR-373-3p
lnc-ATP6V1G3-4,hsa-miR-4465
lnc-ATP6V1G3-4,hsa-miR-519d-3p
lnc-ATP6V1G3-4,hsa-miR-520a-3p
lnc-ATP6V1G3-4,hsa-miR-520c-3p
lnc-ATP6V1G3-4,hsa-miR-520d-3p
lnc-ATP6V1G3-4,hsa-miR-653-5p
lnc-ATP6V1G3-4,hsa-miR-874-3p
lnc-ATP6V1G3-4,hsa-miR-93-5p
PCAT6,hsa-miR-326
PCAT6,hsa-miR-330-5p
LEMD1-AS1,hsa-miR-155-5p
LEMD1-AS1,hsa-miR-374a-5p
LEMD1-AS1,hsa-miR-374b-5p
KCNH1-IT1,hsa-miR-224-5p
LINC00467,hsa-miR-18a-5p
LINC00467,hsa-miR-18b-5p
LINC00467,hsa-miR-4735-3p
LINC01139,hsa-miR-30a-5p
LINC01139,hsa-miR-30b-5p
LINC01139,hsa-miR-30c-5p
LINC01139,hsa-miR-30d-5p
LINC01139,hsa-miR-30e-5p
LINC01139,hsa-miR-338-3p
PRKCQ-AS1,hsa-miR-130a-3p
PRKCQ-AS1,hsa-miR-130b-3p
PRKCQ-AS1,hsa-miR-140-5p
PRKCQ-AS1,hsa-miR-143-3p
PRKCQ-AS1,hsa-miR-182-5p
PRKCQ-AS1,hsa-miR-19a-3p
PRKCQ-AS1,hsa-miR-19b-3p
PRKCQ-AS1,hsa-miR-301a-3p
PRKCQ-AS1,hsa-miR-3666
PRKCQ-AS1,hsa-miR-4295
PRKCQ-AS1,hsa-miR-454-3p
PRKCQ-AS1,hsa-miR-4770
PRKCQ-AS1,hsa-miR-544a
LINC00707,hsa-miR-103a-3p
LINC00707,hsa-miR-107
LINC00707,hsa-miR-145-5p
LINC00707,hsa-miR-15a-5p
LINC00707,hsa-miR-15b-5p
LINC00707,hsa-miR-16-5p
LINC00707,hsa-miR-195-5p
LINC00707,hsa-miR-205-5p
LINC00707,hsa-miR-206
LINC00707,hsa-miR-30a-5p
LINC00707,hsa-miR-30b-5p
LINC00707,hsa-miR-30c-5p
LINC00707,hsa-miR-30d-5p
LINC00707,hsa-miR-30e-5p
LINC00707,hsa-miR-3167
LINC00707,hsa-miR-338-3p
LINC00707,hsa-miR-376c-3p
LINC00707,hsa-miR-382-5p
LINC00707,hsa-miR-424-5p
LINC00707,hsa-miR-485-5p
LINC00707,hsa-miR-497-5p
LINC00707,hsa-miR-539-5p
LINC00707,hsa-miR-544a
LINC00707,hsa-miR-613
LINC00707,hsa-miR-876-5p
VIM-AS1,hsa-miR-197-3p
ST8SIA6-AS1,hsa-miR-142-3p
WAC-AS1,hsa-miR-1271-5p
WAC-AS1,hsa-miR-218-5p
WAC-AS1,hsa-miR-320b
WAC-AS1,hsa-miR-320c
WAC-AS1,hsa-miR-320d
WAC-AS1,hsa-miR-4429
WAC-AS1,hsa-miR-96-5p
SVIL-AS1,hsa-let-7a-5p
SVIL-AS1,hsa-let-7b-5p
SVIL-AS1,hsa-let-7c-5p
SVIL-AS1,hsa-let-7d-5p
SVIL-AS1,hsa-let-7e-5p
SVIL-AS1,hsa-let-7f-5p
SVIL-AS1,hsa-let-7g-5p
SVIL-AS1,hsa-let-7i-5p
SVIL-AS1,hsa-miR-103a-3p
SVIL-AS1,hsa-miR-107
SVIL-AS1,hsa-miR-181a-5p
SVIL-AS1,hsa-miR-181b-5p
SVIL-AS1,hsa-miR-181c-5p
SVIL-AS1,hsa-miR-181d-5p
SVIL-AS1,hsa-miR-191-5p
SVIL-AS1,hsa-miR-197-3p
SVIL-AS1,hsa-miR-377-3p
SVIL-AS1,hsa-miR-4262
SVIL-AS1,hsa-miR-433-3p
SVIL-AS1,hsa-miR-4458
SVIL-AS1,hsa-miR-4500
SVIL-AS1,hsa-miR-495-3p
SVIL-AS1,hsa-miR-9-5p
SVIL-AS1,hsa-miR-98-5p
LINC00839,hsa-miR-106a-5p
LINC00839,hsa-miR-106b-5p
LINC00839,hsa-miR-130a-3p
LINC00839,hsa-miR-130b-3p
LINC00839,hsa-miR-17-5p
LINC00839,hsa-miR-19a-3p
LINC00839,hsa-miR-19b-3p
LINC00839,hsa-miR-20a-5p
LINC00839,hsa-miR-20b-5p
LINC00839,hsa-miR-301a-3p
LINC00839,hsa-miR-3666
LINC00839,hsa-miR-4295
LINC00839,hsa-miR-454-3p
LINC00839,hsa-miR-519d-3p
LINC00839,hsa-miR-93-5p
ZNF503-AS2,hsa-miR-33a-5p
ZNF503-AS2,hsa-miR-33b-5p
NUTM2B-AS1,hsa-miR-185-5p
NUTM2B-AS1,hsa-miR-30a-5p
NUTM2B-AS1,hsa-miR-30b-5p
NUTM2B-AS1,hsa-miR-30c-5p
NUTM2B-AS1,hsa-miR-30d-5p
NUTM2B-AS1,hsa-miR-30e-5p
NUTM2B-AS1,hsa-miR-4306
NUTM2B-AS1,hsa-miR-4644
NUTM2B-AS1,hsa-miR-148a-3p
NUTM2B-AS1,hsa-miR-148b-3p
NUTM2B-AS1,hsa-miR-152-3p
NUTM2B-AS1,hsa-miR-15a-5p
NUTM2B-AS1,hsa-miR-15b-5p
NUTM2B-AS1,hsa-miR-16-5p
NUTM2B-AS1,hsa-miR-195-5p
NUTM2B-AS1,hsa-miR-214-3p
NUTM2B-AS1,hsa-miR-361-5p
NUTM2B-AS1,hsa-miR-3619-5p
