lncRNA,miRNA
FGD5-AS1,hsa-miR-520a-3p
FGD5-AS1,hsa-miR-520c-3p
FGD5-AS1,hsa-miR-520d-3p
FGD5-AS1,hsa-miR-539-5p
FGD5-AS1,hsa-miR-544a
FGD5-AS1,hsa-miR-761
FGD5-AS1,hsa-miR-93-5p
FOXD2-AS1,hsa-miR-150-5p
FOXD2-AS1,hsa-miR-185-5p
FOXD2-AS1,hsa-miR-4306
GABPB1-AS1,hsa-miR-101-3p
GABPB1-AS1,hsa-miR-653-5p
GAS5,hsa-miR-128-3p
GAS5,hsa-miR-1297
GAS5,hsa-miR-135a-5p
GAS5,hsa-miR-135b-5p
GAS5,hsa-miR-136-5p
GAS5,hsa-miR-18a-5p
GAS5,hsa-miR-18b-5p
GAS5,hsa-miR-196a-5p
GAS5,hsa-miR-196b-5p
GAS5,hsa-miR-205-5p
GAS5,hsa-miR-221-3p
GAS5,hsa-miR-222-3p
GAS5,hsa-miR-223-3p
GAS5,hsa-miR-23a-3p
GAS5,hsa-miR-23b-3p
GAS5,hsa-miR-23c
GAS5,hsa-miR-26a-5p
GAS5,hsa-miR-26b-5p
GAS5,hsa-miR-29a-3p
GAS5,hsa-miR-29b-3p
GAS5,hsa-miR-29c-3p
GAS5,hsa-miR-3167
GAS5,hsa-miR-346
GAS5,hsa-miR-361-5p
GAS5,hsa-miR-374a-5p
GAS5,hsa-miR-374b-5p
GAS5,hsa-miR-433-3p
GAS5,hsa-miR-4465
GAS5,hsa-miR-455-5p
GAS5,hsa-miR-4735-3p
GAS5,hsa-miR-485-5p
GAS5,hsa-miR-544a
GAS5,hsa-miR-590-3p
GAS5,hsa-miR-873-5p
GAS5,hsa-miR-876-5p
GIHCG,hsa-miR-361-5p
GIHCG,hsa-miR-499a-5p
GIHCG,hsa-miR-590-3p
GNAS-AS1,hsa-miR-24-3p
GNAS-AS1,hsa-miR-296-3p
GNAS-AS1,hsa-miR-329-3p
GNAS-AS1,hsa-miR-34a-5p
GNAS-AS1,hsa-miR-34c-5p
GNAS-AS1,hsa-miR-362-3p
GNAS-AS1,hsa-miR-449a
GNAS-AS1,hsa-miR-449b-5p
GNAS-AS1,hsa-miR-615-3p
H19,hsa-miR-103a-3p
H19,hsa-miR-106a-5p
H19,hsa-miR-106b-5p
H19,hsa-miR-107
H19,hsa-miR-130a-3p
H19,hsa-miR-130b-3p
H19,hsa-miR-138-5p
H19,hsa-miR-140-5p
H19,hsa-miR-148a-3p
H19,hsa-miR-148b-3p
